"HMDBID","KEGGID","Name","Origin","Links","Diff"
"HMDB0000671","C02043","Indolelactic acid","Microbiota; Food related; Drug related","Microbiota(HMDB:HMDB0000671); Food related(FooDB:FDB022174); Drug related(DrugBank:DB07060)",1
"HMDB0000682",NA,"Indoxyl sulfate","Microbiota; Food related; Drug related; Environment","Microbiota(HMDB:HMDB0000682); Food related(FooDB:FDB022179 T3DB:T3D4158); Drug related(DrugBank:DB07992); Environment(T3DB:T3D4158)",1
"HMDB0000195","C00294","Inosine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:ins ChEBI:17596 KEGG:C00294,D00054); Food related(FooDB:FDB011802 HMDB:HMDB0000195); Drug related(DrugBank:DB04335 KEGG:C00294,D00054)",0
"HMDB0000172","C00407","Isoleucine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ile__L ChEBI:17191 KEGG:C00407,D00065); Food related(FooDB:FDB012397 HMDB:HMDB0000172 T3DB:T3D4364); Drug related(DrugBank:DB00167 KEGG:C00407,D00065 T3DB:T3D4364); Environment(HMDB:HMDB0000172 T3DB:T3D4364)",0
NA,NA,"Isomaltose A","Unknown",NA,0
"HMDB0002655","C10084","Isorhamnetin","Food related; Drug related","Food related(FooDB:FDB000604 HMDB:HMDB0002655); Drug related(DrugBank:DB16767)",0
"HMDB0000704","C03975","Isoxanthopterin","Food related","Food related(FooDB:FDB005583 HMDB:HMDB0000704)",0
"HMDB0005801","C05903","Kaempferol","Microbiota; Food related; Drug related","Microbiota(ChEBI:28499 KEGG:C05903); Food related(FooDB:FDB000633 HMDB:HMDB0005801 T3DB:T3D4795); Drug related(DrugBank:DB01852)",0
NA,NA,"Ketoisovaleric acid","Unknown",NA,0
"HMDB0000715","C01717","Kynurenic acid","Microbiota; Food related; Drug related","Microbiota(ChEBI:18344); Food related(FooDB:FDB022200 T3DB:T3D4160); Drug related(DrugBank:DB11937)",0
"HMDB0000127","C00191","Lactose A","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:glcur KEGG:C00191); Food related(FooDB:FDB021897 HMDB:HMDB0000127); Drug related(DrugBank:DB03156)",0
"HMDB0000740","C07064","Lactulose","Food related; Drug related","Food related(FooDB:FDB022215); Drug related(DrugBank:DB00581 KEGG:C07064,D00352,G03573)",0
"HMDB0028925",NA,"Leu-Asp","Food related","Food related(FooDB:FDB098210)",0
"HMDB0000127","C00191","Levocetirizine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:glcur KEGG:C00191); Food related(FooDB:FDB021897 HMDB:HMDB0000127); Drug related(DrugBank:DB03156)",0
"HMDB0029519","C09762","Liquiritigenin","Microbiota; Food related; Drug related","Microbiota(ChEBI:28777); Food related(FooDB:FDB000655 HMDB:HMDB0029519); Drug related(DrugBank:DB03601)",0
"HMDB0000684","C00328","L-Kynurenine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:Lkynr ChEBI:16946 KEGG:C00328); Food related(FooDB:FDB022181 HMDB:HMDB0000684); Drug related(DrugBank:DB02070)",0
"HMDB0001314","C00942","LPE 14:0","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:35cgmp ChEBI:16356 KEGG:C00942); Food related(FooDB:FDB030764 HMDB:HMDB0001314); Drug related(DrugBank:DB02315)",0
NA,"D07202","LPE 18:1","Drug related","Drug related(KEGG:D07202)",0
NA,NA,"LPG 15:0","Unknown",NA,0
NA,NA,"LPI 16:0","Unknown",NA,0
"HMDB0000182","C00047","Lysine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:lys__L ChEBI:18019 KEGG:C00047,D02304); Food related(FooDB:FDB000474 HMDB:HMDB0000182 T3DB:T3D4248); Drug related(DrugBank:DB00123 KEGG:C00047,D02304 T3DB:T3D4248); Environment(HMDB:HMDB0000182 T3DB:T3D4248)",0
"HMDB0000176","C01384","Maleic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:male ChEBI:18300 KEGG:C01384); Food related(FooDB:FDB008113 HMDB:HMDB0000176 T3DB:T3D4800); Drug related(DrugBank:DB04299)",0
"HMDB0000156","C03668","Malic acid","Microbiota; Food related","Microbiota(BIGG:mal__L ChEBI:15589,30797 HMDB:HMDB0000156 KEGG:C00149); Food related(FooDB:FDB012047 HMDB:HMDB0000156)",0
"HMDB0001262","C01835","Maltotriose","Microbiota; Food related","Microbiota(BIGG:malttr); Food related(FooDB:FDB001196 HMDB:HMDB0001262)",0
"HMDB0000765","C00392","Mannitol","Microbiota; Food related; Drug related","Microbiota(BIGG:mnl ChEBI:16899 HMDB:HMDB0000765 KEGG:C00392,D00062); Food related(FooDB:FDB001982 HMDB:HMDB0000765); Drug related(DrugBank:DB00742 KEGG:C00392,D00062)",1
NA,NA,"Methioninesulfoxide","Unknown",NA,0
"HMDB0002923","C00252","Methyl-4-hydroxy-3-methoxybenzoate","Host; Microbiota","Microbiota(BIGG:isomal KEGG:C00252,G01318)",1
"HMDB0000202","C02170","Methylmalonic acid","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C02170); Food related(FooDB:FDB021905 T3DB:T3D4404); Drug related(DrugBank:DB04183)",0
"HMDB0003254","C06470","Muramic acid","Microbiota; Food related","Microbiota(HMDB:HMDB0003254); Food related(FooDB:FDB023131)",0
"HMDB0000019","C00141","N-2-Fluorenylacetamide","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:3mob ChEBI:11851,16530 KEGG:C00141); Food related(FooDB:FDB012250 HMDB:HMDB0000019 T3DB:T3D4425); Drug related(DrugBank:DB04074)",0
"HMDB0000812","C01042","N-Acetylaspartic acid","Host; Microbiota; Food related","Microbiota(KEGG:C01042); Food related(FooDB:FDB022260 T3DB:T3D4310)",0
"HMDB0000215","C00140","N-Acetyl-D-glucosamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:acgam KEGG:C00140); Food related(FooDB:FDB008032 HMDB:HMDB0000215); Drug related(DrugBank:DB00141)",0
"HMDB0000215","C00140","N-Acetylglucosamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:acgam KEGG:C00140); Food related(FooDB:FDB008032 HMDB:HMDB0000215); Drug related(DrugBank:DB00141)",0
"HMDB0001138","C00624","N-Acetylglutamic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:acglu ChEBI:172431,17533,44337 KEGG:C00624); Food related(FooDB:FDB031019); Drug related(DrugBank:DB04075)",0
"HMDB0000532",NA,"N-Acetylglycine","Food related; Drug related","Food related(FooDB:FDB022100); Drug related(DrugBank:DB02713)",0
"HMDB0032055","C02997","N-Acetylhistidine","Food related","Food related(FooDB:FDB008762 HMDB:HMDB0032055)",0
"HMDB0011756","C02710","N-Acetylleucine","Food related; Drug related","Food related(FooDB:FDB028426); Drug related(DrugBank:DB16956)",0
"HMDB0011745","C02712","N-Acetylmethionine","Food related; Drug related","Food related(FooDB:FDB001089); Drug related(DrugBank:DB01646)",0
"HMDB0000230","C19910","N-Acetylneuraminic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:acnam); Food related(HMDB:HMDB0000230); Drug related(DrugBank:DB04265)",0
"HMDB0000512","C03519","N-Acetylphenylalanine","Microbiota; Food related","Microbiota(KEGG:C03519); Food related(FooDB:FDB022084)",0
"HMDB0002931",NA,"N-Acetylserine","Food related; Drug related","Food related(FooDB:FDB000970 HMDB:HMDB0002931); Drug related(DrugBank:DB02340)",1
"HMDB0001238","C00978","N-Acetylserotonin","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C00978); Food related(FooDB:FDB031021 HMDB:HMDB0001238); Drug related(DrugBank:DB04275)",1
"HMDB0013713",NA,"N-Acetyltryptophan","Food related","Food related(FooDB:FDB111644)",0
"HMDB0002927","C09789","Naringin","Microbiota; Food related; Drug related","Microbiota(KEGG:C09789); Food related(FooDB:FDB011866 HMDB:HMDB0002927); Drug related(DrugBank:DB16859)",1
"HMDB0000186","C00243","N-Carbobenzyloxyleucine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:lcts KEGG:C00243); Food related(FooDB:FDB021789 HMDB:HMDB0000186); Drug related(DrugBank:DB04465 KEGG:C00243)",0
"HMDB0011621",NA,"N-Cinnamoylglycine","Food related","Food related(FooDB:FDB028325)",0
"HMDB0000206","C02727","N-epsilon-Acetyllysine","Microbiota; Food related","Microbiota(KEGG:C02727); Food related(FooDB:FDB000476 HMDB:HMDB0000206)",0
"HMDB0002368","C08323","Nervonic acid","Food related","Food related(FooDB:FDB002934 HMDB:HMDB0002368)",0
"HMDB0240226","D07402","N-Formylmethionine","Drug related","Drug related(DrugBank:DB06282 KEGG:D07402)",0
"HMDB0001488","C00253","Nicotinic acid","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:nac ChEBI:15940 KEGG:C00253,D00049); Food related(FooDB:FDB001014 HMDB:HMDB0001488 T3DB:T3D2841); Drug related(DrugBank:DB00627 KEGG:C00253,D00049 T3DB:T3D2841); Environment(HMDB:HMDB0001488 T3DB:T3D2841)",0
"HMDB0000730",NA,"N-Isobutyrylglycine","Food related","Food related(FooDB:FDB022208)",0
"HMDB0000678",NA,"N-Isovalerylglycine","Food related","Food related(FooDB:FDB022177)",0
"HMDB0014649","D02486","Nitazoxanide","Drug related","Drug related(DrugBank:DB00507 KEGG:D02486)",0
"HMDB0014723","C07270","Nizatidine","Drug related","Drug related(KEGG:C07270)",0
"HMDB0094692","C02721","N-Methylalanine","Unknown",NA,1
"HMDB0029519","C09762","N-Methylanthranilic acid","Microbiota; Food related; Drug related","Microbiota(ChEBI:28777); Food related(FooDB:FDB000655 HMDB:HMDB0029519); Drug related(DrugBank:DB03601)",0
"HMDB0062660","C01046","N-Methylglutamic acid","Microbiota","Microbiota(KEGG:C01046)",1
NA,NA,"N-Methylisoleucine","Unknown",NA,0
"HMDB0029224",NA,"N-Methylphenylalanine","Unknown",NA,0
NA,NA,"N-Methylserine","Unknown",NA,0
NA,NA,"N-Methyltyrosine","Unknown",NA,0
"HMDB0002005","C02989","N-Methylvaline","Microbiota; Food related","Microbiota(BIGG:metsox_S__L ChEBI:17016 KEGG:C02989); Food related(FooDB:FDB022789 HMDB:HMDB0002005)",0
"HMDB0000216","C00547","Norepinephrine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:nrpphr HMDB:HMDB0000216 KEGG:C00547,D00076); Food related(FooDB:FDB016812 HMDB:HMDB0000216 T3DB:T3D4154); Drug related(DrugBank:DB00368 KEGG:C00547,D00076 T3DB:T3D4154)",0
"HMDB0001879","C01405","O-Acetylsalicylic acid","Food related; Drug related; Environment","Food related(FooDB:FDB000894 HMDB:HMDB0001879 T3DB:T3D2936); Drug related(DrugBank:DB00945 KEGG:C01405,D00109 T3DB:T3D2936); Environment(HMDB:HMDB0001879 T3DB:T3D2936)",0
"HMDB0000782",NA,"Octadecanedioic acid","Food related","Food related(FooDB:FDB022239 HMDB:HMDB0000782)",0
"HMDB0000207","C00712","Oleic acid","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ocdcea ChEBI:16196 KEGG:C00712,D02315); Food related(FooDB:FDB012858 HMDB:HMDB0000207 T3DB:T3D4802); Drug related(DrugBank:DB04224 KEGG:C00712,D02315); Environment(HMDB:HMDB0000207 T3DB:T3D4802)",0
"HMDB0014420","D01204","Olmesartan","Drug related","Drug related(DrugBank:DB00275 KEGG:D01204)",0
"HMDB0001913","C07324","Omeprazole","Food related; Drug related; Environment","Food related(FooDB:FDB021863 T3DB:T3D3524); Drug related(DrugBank:DB00338 KEGG:C07324,D00455 T3DB:T3D3524); Environment(T3DB:T3D3524)",0
"HMDB0015215","D04028","Orlistat","Microbiota; Drug related","Microbiota(ChEBI:94686); Drug related(DrugBank:DB01083 KEGG:D04028)",0
"HMDB0000214","C00077","Ornithine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:orn KEGG:C00077,D08302); Food related(FooDB:FDB030969 HMDB:HMDB0000214); Drug related(DrugBank:DB00129 KEGG:C00077,D08302)",0
"HMDB0000226","C00295","Orotic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:orot ChEBI:16742 KEGG:C00295,D00055); Food related(FooDB:FDB031072 HMDB:HMDB0000226 T3DB:T3D4292); Drug related(DrugBank:DB02262 KEGG:C00295,D00055)",1
"HMDB0255868","C01118","O-Succinylhomoserine","Microbiota","Microbiota(BIGG:suchms ChEBI:16160 KEGG:C01118)",0
"HMDB0244967","C02778","Otenzepad","Unknown",NA,0
"HMDB0015126","C07356","Oxaprozin","Drug related","Drug related(DrugBank:DB00991 KEGG:C07356,D00463)",0
"HMDB0014980","C07359","Oxazepam","Drug related; Environment","Drug related(DrugBank:DB00842 KEGG:C07359,D00464 T3DB:T3D2909); Environment(HMDB:HMDB0014980 T3DB:T3D2909)",0
"HMDB0000220","C00249","Palmitic acid","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:hdca ChEBI:15756 KEGG:C00249,D05341); Food related(FooDB:FDB031084 HMDB:HMDB0000220 T3DB:T3D4797); Drug related(DrugBank:DB03796 KEGG:C00249,D05341); Environment(HMDB:HMDB0000220 T3DB:T3D4797)",0
"HMDB0005017","C11806","Pantoprazole","Food related; Drug related","Food related(FooDB:FDB023589); Drug related(DrugBank:DB00213 KEGG:C11806,D05353)",0
NA,NA,"PE-Cer 23:3;2O/18:2;O","Unknown",NA,0
"HMDB0014444","C07417","Penciclovir","Drug related","Drug related(DrugBank:DB00299 KEGG:C07417,D05407)",0
NA,"C04335","PG O-18:2_11:0","Unknown",NA,0
"HMDB0006344","C04148","Phenylacetylglutamine","Microbiota; Food related","Microbiota(HMDB:HMDB0006344); Food related(FooDB:FDB023896)",0
"HMDB0000159","C00079","Phenylalanine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:phe__L ChEBI:17295 KEGG:C00079,D00021); Food related(FooDB:FDB004940 HMDB:HMDB0000159 T3DB:T3D4366); Drug related(DrugBank:DB00120 KEGG:C00079,D00021 T3DB:T3D4366); Environment(HMDB:HMDB0000159 T3DB:T3D4366)",0
"HMDB0001015","C03145","Phenyl-beta-glucopyranoside","Microbiota; Food related; Drug related","Microbiota(BIGG:fmet HMDB:HMDB0001015); Food related(FooDB:FDB022372); Drug related(DrugBank:DB04464)",0
"HMDB0003306","C00774","Phloretin","Microbiota; Food related; Drug related","Microbiota(HMDB:HMDB0003306 KEGG:C00774); Food related(FooDB:FDB015553 HMDB:HMDB0003306); Drug related(DrugBank:DB07810)",0
NA,NA,"Phlorobenzophenone","Unknown",NA,0
"HMDB0002107","C01606","Phthalic acid","Microbiota; Food related; Drug related","Microbiota(KEGG:C01606); Food related(FooDB:FDB010566 HMDB:HMDB0002107); Drug related(DrugBank:DB02746)",0
"HMDB0030564","C10275","Piceid","Food related; Drug related","Food related(FooDB:FDB002449 HMDB:HMDB0030564); Drug related(DrugBank:DB11263)",0
"HMDB0002039","C11118","Pizotifen","Food related","Food related(FooDB:FDB000741 HMDB:HMDB0002039)",0
"HMDB0000162","C00148","Proline","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:pro__L ChEBI:17203 KEGG:C00148,D00035); Food related(FooDB:FDB000570 HMDB:HMDB0000162 T3DB:T3D4411); Drug related(DrugBank:DB00172 KEGG:C00148,D00035 T3DB:T3D4411); Environment(HMDB:HMDB0000162 T3DB:T3D4411)",0
"HMDB0006695",NA,"Proline-hydroxyproline","Food related","Food related(FooDB:FDB024028)",0
"HMDB0000237","C00163","Propionic acid","Host; Microbiota; Food related; Drug related","Microbiota(HMDB:HMDB0000237 KEGG:C00163,D02310); Food related(FooDB:FDB031132 HMDB:HMDB0000237 T3DB:T3D4444); Drug related(DrugBank:DB03766 KEGG:C00163,D02310)",0
"HMDB0000767","C02067","Pseudouridine","Microbiota; Food related","Microbiota(KEGG:C02067); Food related(FooDB:FDB031139 HMDB:HMDB0000767)",0
"HMDB0001366","C15587","Purine","Microbiota; Food related","Microbiota(BIGG:purine); Food related(FooDB:FDB007311 HMDB:HMDB0001366)",0
"HMDB0001431","C00534","Pyridoxamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:pydam ChEBI:16410 KEGG:C00534); Food related(FooDB:FDB021819 HMDB:HMDB0001431); Drug related(DrugBank:DB11673)",0
"HMDB0000239","C00314","Pyridoxine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:pydxn ChEBI:16709 KEGG:C00314,D08454); Food related(FooDB:FDB000574 HMDB:HMDB0000239 T3DB:T3D2701); Drug related(DrugBank:DB00165 KEGG:C00314,D08454 T3DB:T3D2701); Environment(HMDB:HMDB0000239 T3DB:T3D2701)",0
"HMDB0000267","C01879","Pyroglutamic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:5oxpro KEGG:C01879); Food related(FooDB:FDB014506 HMDB:HMDB0000267 T3DB:T3D4270); Drug related(DrugBank:DB03088)",1
"HMDB0004230","C05942","Pyrrole-2-carboxylic acid","Food related; Drug related","Food related(FooDB:FDB023340); Drug related(DrugBank:DB02543)",0
"HMDB0000243","C00022","Pyruvic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:pyr ChEBI:15361,32816 HMDB:HMDB0000243 KEGG:C00022); Food related(FooDB:FDB031141 HMDB:HMDB0000243 T3DB:T3D4325); Drug related(DrugBank:DB00119 T3DB:T3D4325)",0
"HMDB0003072","C00296","Quinic acid","Microbiota; Food related","Microbiota(BIGG:quin ChEBI:17521,29751 KEGG:C00296); Food related(HMDB:HMDB0003072)",0
"HMDB0032609","C03005","Ribose A","Food related","Food related(HMDB:HMDB0032609)",0
"HMDB0014878","C07937","Riluzole","Drug related; Environment","Drug related(DrugBank:DB00740 KEGG:C07937 T3DB:T3D2875); Environment(T3DB:T3D2875)",0
"HMDB0000939","C00021","S-Adenosyl-homocysteine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:ahcys ChEBI:16680,181457 KEGG:C00021); Food related(FooDB:FDB031150 HMDB:HMDB0000939 T3DB:T3D4455); Drug related(DrugBank:DB01752)",0
"HMDB0001895","C00805","Salicylic acid","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:salc ChEBI:16914,30762 HMDB:HMDB0001895 KEGG:C00805,D00097); Food related(FooDB:FDB031164 HMDB:HMDB0001895 T3DB:T3D4816); Drug related(DrugBank:DB00936 KEGG:C00805,D00097 T3DB:T3D4816); Environment(HMDB:HMDB0001895 T3DB:T3D4816)",0
"HMDB0000187","C00716","Serine","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ser__L ChEBI:17115 KEGG:C00065,D00016); Food related(FooDB:FDB012739 HMDB:HMDB0000187 T3DB:T3D4367); Drug related(DrugBank:DB00133 KEGG:C00065,D00016 T3DB:T3D4367); Environment(HMDB:HMDB0000187 T3DB:T3D4367)",0
"HMDB0029052",NA,"Ser-Val","Food related","Food related(FooDB:FDB112058)",0
NA,"C11166","Sodium lauryl sulfate","Food related; Drug related; Environment","Food related(FooDB:FDB020359 T3DB:T3D3629); Drug related(DrugBank:DB00815 KEGG:C11166,D01045 T3DB:T3D3629); Environment(T3DB:T3D3629)",0
"HMDB0001266","C08356","Sorbose","Microbiota; Food related","Microbiota(BIGG:srb__L HMDB:HMDB0001266); Food related(FooDB:FDB001126 HMDB:HMDB0001266)",0
"HMDB0014787","C07312","Stavudine","Drug related; Environment","Drug related(DrugBank:DB00649 KEGG:C07312,D00445 T3DB:T3D4772); Environment(T3DB:T3D4772)",0
"HMDB0000258","C00089","Sucrose","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:sucr ChEBI:17992 KEGG:C00089,D00025,G00370); Food related(FooDB:FDB003715 HMDB:HMDB0000258); Drug related(DrugBank:DB02772 KEGG:C00089,D00025,G00370)",0
"HMDB0002085","C10833","Syringic acid","Microbiota; Food related","Microbiota(ChEBI:68329 HMDB:HMDB0002085 KEGG:C10833); Food related(FooDB:FDB000514 HMDB:HMDB0002085)",0
"HMDB0000251","C00245","Taurine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:taur ChEBI:15891 KEGG:C00245,D00047); Food related(FooDB:FDB003191 HMDB:HMDB0000251); Drug related(DrugBank:DB01956 KEGG:C00245,D00047)",0
"HMDB0000036","C05122","Taurocholic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:tchola KEGG:C05122); Food related(FooDB:FDB012335 HMDB:HMDB0000036); Drug related(DrugBank:DB04348)",0
"HMDB0000943","C01620","Threonic acid","Microbiota; Food related; Drug related","Microbiota(ChEBI:15908,49060 HMDB:HMDB0000943); Food related(FooDB:FDB030975); Drug related(DrugBank:DB11192)",0
"HMDB0000167","C00188","Threonine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:thr__L ChEBI:16857 KEGG:C00188,D00041); Food related(FooDB:FDB011999 HMDB:HMDB0000167 T3DB:T3D4368); Drug related(DrugBank:DB00156 KEGG:C00188,D00041 T3DB:T3D4368); Environment(HMDB:HMDB0000167 T3DB:T3D4368)",0
"HMDB0000273","C00214","Thymidine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:thymd ChEBI:17748 KEGG:C00214,D12466); Food related(FooDB:FDB031201 HMDB:HMDB0000273); Drug related(DrugBank:DB04485 KEGG:C00214,D12466)",0
"HMDB0001227","C00364","Thymidine-5-monophosphate","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:dtmp ChEBI:17013 KEGG:C00364); Food related(FooDB:FDB030840 HMDB:HMDB0001227); Drug related(DrugBank:DB01643)",0
NA,"D02851","Tomelukast","Drug related","Drug related(KEGG:D02851)",0
"HMDB0014608","C07062","Toradol","Drug related","Drug related(DrugBank:DB00465 KEGG:C07062,D08104)",0
"HMDB0014359","D00382","Torasemide","Drug related","Drug related(DrugBank:DB00214 KEGG:D00382)",0
"HMDB0000158","C00082","Tyrosine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:tyr__L ChEBI:17895 KEGG:C00082,D00022); Food related(FooDB:FDB000446 HMDB:HMDB0000158); Drug related(DrugBank:DB00135 KEGG:C00082,D00022); Environment(HMDB:HMDB0000158)",0
"HMDB0029117",NA,"Tyr-Tyr","Food related","Food related(FooDB:FDB112120)",0
"HMDB0000300","C00106","Uracil","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:ura ChEBI:17568 KEGG:C00106,D00027); Food related(FooDB:FDB006426 HMDB:HMDB0000300); Drug related(DrugBank:DB03419 KEGG:C00106,D00027)",0
"HMDB0000883","C00183","Valine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:val__L ChEBI:16414 KEGG:C00183,D00039); Food related(FooDB:FDB004905 HMDB:HMDB0000883 T3DB:T3D4370); Drug related(DrugBank:DB00161 KEGG:C00183,D00039 T3DB:T3D4370); Environment(HMDB:HMDB0000883)",0
"HMDB0029140",NA,"Val-Val","Microbiota; Food related","Microbiota(ChEBI:73704); Food related(FooDB:FDB112141)",0
"HMDB0029134",NA,"Valylphenylalanine","Food related","Food related(FooDB:FDB112136)",0
"HMDB0000484","C06672","Vanillic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:vanlt ChEBI:16632,30816 HMDB:HMDB0000484 KEGG:C06672); Food related(FooDB:FDB000846 HMDB:HMDB0000484); Drug related(DrugBank:DB02130)",0
"HMDB0012308","C00755","Vanillin","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:vanln ChEBI:18346 KEGG:C00755,D00091); Food related(FooDB:FDB000838 HMDB:HMDB0012308 T3DB:T3D4849); Drug related(KEGG:C00755,D00091); Environment(HMDB:HMDB0012308 T3DB:T3D4849)",0
"HMDB0015000","D08668","Vardenafil","Drug related","Drug related(DrugBank:DB00862 KEGG:D08668)",0
"HMDB0014681","C07204","Vincristine","Drug related; Environment","Drug related(DrugBank:DB00541 KEGG:C07204,D08679 T3DB:T3D4016); Environment(T3DB:T3D4016)",0
"HMDB0259858","C01460","Vitexin","Food related","Food related(FooDB:FDB002501)",0
NA,"C03584","Willardiine","Drug related","Drug related(DrugBank:DB04129)",0
"HMDB0000292","C00385","Xanthine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:xan ChEBI:17712,48517 KEGG:C00385); Food related(FooDB:FDB001977 HMDB:HMDB0000292 T3DB:T3D4409); Drug related(DrugBank:DB02134)",0
"HMDB0000299","C01762","Xanthosine","Host; Microbiota; Food related","Microbiota(BIGG:xtsn ChEBI:18107 KEGG:C01762); Food related(FooDB:FDB001604 HMDB:HMDB0000299)",0
"HMDB0000098","C00181","Xylose","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:xyl__D ChEBI:15936,53455 KEGG:C00181,D06346); Food related(FooDB:FDB005944 HMDB:HMDB0000098 T3DB:T3D4926); Drug related(DrugBank:DB09419 KEGG:C00181,D06346); Environment(HMDB:HMDB0000098)",0
"HMDB0032702","C14752","Zeranol","Food related; Drug related","Food related(HMDB:HMDB0032702 T3DB:T3D3675); Drug related(DrugBank:DB11478 KEGG:C14752,D06362)",0
"HMDB0000244","C00255","Riboflavin","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ribflv ChEBI:17015 KEGG:C00255,D00050); Food related(FooDB:FDB012160 HMDB:HMDB0000244 T3DB:T3D4817); Drug related(DrugBank:DB00140 KEGG:C00255,D00050 T3DB:T3D4817); Environment(HMDB:HMDB0000244)",0
NA,NA,"1-(Benzo[d[1,3dioxol-4-yl)-2-(ethylamino)propan-1-one","Unknown",NA,0
"HMDB0002322","C01672","1,5-Pentanediamine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:15dap ChEBI:18127 HMDB:HMDB0002322 KEGG:C01672); Food related(FooDB:FDB001493 HMDB:HMDB0002322); Drug related(DrugBank:DB03854)",1
NA,NA,"1-Hexadecylpyridinium cation","Unknown",NA,0
"HMDB0011503",NA,"1-palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine","Microbiota; Food related","Microbiota(BIGG:1agpe160); Food related(FooDB:FDB028219 HMDB:HMDB0011503)",0
"HMDB0010384","C04230","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine","Host; Microbiota; Food related","Microbiota(KEGG:C04230); Food related(FooDB:FDB027535 HMDB:HMDB0010384)",0
"HMDB0000071","C05512","2-Deoxyinosine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:din ChEBI:28997 KEGG:C05512); Food related(FooDB:FDB012323 HMDB:HMDB0000071); Drug related(DrugBank:DB02380)",0
NA,NA,"3-(Hydroxymethyl)-6,7-dimethylquinolin-2-ol","Unknown",NA,0
NA,NA,"4-Hydroxyquinoline-2-carbaldehyde","Unknown",NA,0
"HMDB0032985","C04294","4-Methyl-5-thiazoleethanol","Microbiota; Food related; Drug related","Microbiota(BIGG:4mhetz ChEBI:17957 KEGG:C04294); Food related(FooDB:FDB030512 HMDB:HMDB0032985); Drug related(DrugBank:DB02969)",0
"HMDB0039353","C10796","alpha-Chaconine","Food related","Food related(FooDB:FDB018909 HMDB:HMDB0039353 T3DB:T3D4050)",0
"HMDB0028713",NA,"Arg-Leu","Food related","Food related(FooDB:FDB111770)",0
NA,NA,"Benzyldimethyltetradecylammonium cation","Unknown",NA,0
"HMDB0000619","C00695","Cholic Acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cholate KEGG:C00695,D10699); Food related(FooDB:FDB012810 HMDB:HMDB0000619 T3DB:T3D4343); Drug related(DrugBank:DB02659 KEGG:C00695,D10699)",0
"HMDB0000097","C00114","Choline cation","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:chol ChEBI:15354 KEGG:C00114,D07690); Food related(FooDB:FDB000710 HMDB:HMDB0000097); Drug related(DrugBank:DB00122 KEGG:C00114,D07690)",0
